"date","mmwr_week","location","distributed","distributed_janssen","distributed_moderna","distributed_pfizer","distributed_unk_manuf","dist_per_100k","distributed_per_100k_5plus","distributed_per_100k_12plus","distributed_per_100k_18plus","distributed_per_100k_65plus","administered","administered_5plus","administered_12plus","administered_18plus","administered_65plus","administered_janssen","administered_moderna","administered_pfizer","administered_unk_manuf","admin_per_100k","admin_per_100k_5plus","admin_per_100k_12plus","admin_per_100k_18plus","admin_per_100k_65plus","recip_administered","administered_dose1_recip","administered_dose1_pop_pct","administered_dose1_recip_5plus","administered_dose1_recip_5pluspop_pct","administered_dose1_recip_1","administered_dose1_recip_2","administered_dose1_recip_3","administered_dose1_recip_4","administered_dose1_recip_5","administered_dose1_recip_6","series_complete_yes","series_complete_pop_pct","series_complete_5plus","series_complete_5pluspop_pct","series_complete_12plus","series_complete_12pluspop","series_complete_18plus","series_complete_18pluspop","series_complete_65plus","series_complete_65pluspop","series_complete_janssen","series_complete_moderna","series_complete_pfizer","series_complete_unk_manuf","series_complete_janssen_5plus","series_complete_moderna_5plus","series_complete_pfizer_5plus","series_complete_unk_manuf_5plus","series_complete_janssen_12plus","series_complete_moderna_12plus","series_complete_pfizer_12plus","series_complete_unk_manuf_1","series_complete_janssen_18plus","series_complete_moderna_18plus","series_complete_pfizer_18plus","series_complete_unk_manuf_2","series_complete_janssen_65plus","series_complete_moderna_65plus","series_complete_pfizer_65plus","series_complete_unk_manuf_3","additional_doses","additional_doses_vax_pct","additional_doses_12plus","additional_doses_12plus_vax_pct","additional_doses_18plus","additional_doses_18plus_vax_pct","additional_doses_50plus","additional_doses_50plus_vax_pct","additional_doses_65plus","additional_doses_65plus_vax_pct","additional_doses_moderna","additional_doses_pfizer","additional_doses_janssen","additional_doses_unk_manuf","second_booster","second_booster_50plus","second_booster_50plus_vax_pct","second_booster_65plus","second_booster_65plus_vax_pct","second_booster_janssen","second_booster_moderna","second_booster_pfizer","second_booster_unk_manuf"
"2022-06-29T00:00:00.000","26","GU","330560","24100","88480","217980","0","196191","216390","251729","288588","2058150","365588","365549","348267","313559","51989","13414","115378","236410","386","216980","239295","265213","273745","323697","365895","154870","91.9","154834","95","145443","95","129366","95","17745","95","140333","83.3","140329","91.9","133100","95","118785","95","16715","95","11228","40195","88745","165","11227","40193","88744","165","11226","40193","81517","164","11217","40173","67231","164","642","6825","9205","43","69361","49.4","69087","51.9","64829","54.6","33243","71.4","13181","78.9","25618","42023","1714","6",,"8765","26.4","4701","35.7","5","3885","5297","0"
"2022-06-29T00:00:00.000","26","NM","4747945","188400","1843600","2715945","0","226435","240300","265630","292904","1257380","4085449","4084293","3938942","3667648","1113425","119827","1658104","2297012","10506","194839","206711","220369","226260","294864","4255160","1867238","89.1","1866115","94.4","1781472","95","1642637","95","437406","95","1509192","72","1509107","76.4","1444954","80.8","1330134","82.1","363032","95","110899","569094","826711","2488","110889","569057","826674","2487","110880","568999","762602","2473","110737","568568","648399","2430","21439","170464","169969","1160","776169","51.4","770329","53.3","734378","55.2","459183","64.7","254948","70.2","323485","441374","10969","341",,"156782","34.1","107117","42","235","76133","88094","136"
"2022-06-29T00:00:00.000","26","DE","2521155","100800","977600","1442755","0","258908","274323","300206","327341","1334610","1881405","1880661","1824929","1712418","584568","62486","727328","1089219","2372","193210","204632","217303","222337","309449","1858479","820047","84.2","819427","89.2","789949","94.1","739120","95","215028","95","682756","70.1","682724","74.3","659010","78.5","615581","79.9","184932","95","57466","239174","385312","804","57462","239163","385295","804","57455","239160","361596","799","57405","239017","318385","774","10024","76713","97812","383","323480","47.4","322088","48.9","309800","50.3","219856","61.8","130474","70.6","138013","180140","5252","75",,"64930","29.5","47944","36.7","67","31765","35113","11"
"2022-06-29T00:00:00.000","26","MI","22699210","949600","9043020","12706590","0","227291","240958","264098","289423","1285780","16368051","16366066","15886439","15013900","4842177","468873","6465018","9431842","2318","163896","173730","184833","191432","274282","16698914","6739917","67.5","6737930","71.5","6491812","75.5","6095582","77.7","1716056","95","6059681","60.7","6059608","64.3","5841344","68","5482448","69.9","1572725","89.1","423472","2197962","3437011","1236","423458","2197936","3436979","1235","423439","2197875","3218815","1215","423120","2197100","2861129","1099","71373","788262","712464","626","3353818","55.3","3341400","57.2","3231323","58.9","2151063","69.2","1217144","77.4","1482974","1822184","48489","171",,"599983","27.9","426384","35","404","296665","325197","27"
"2022-06-29T00:00:00.000","26","CA","95539455","3742600","34371680","57425175","0","241797","257321","283953","312041","1636480","77764209","77666106","74726457","69277438","16932765","2318940","29206813","46222858","15598","196811","209182","222094","226267","290038","78236370","32782612","83","32713768","88.1","31200050","92.7","28696509","93.7","6001684","95","28773716","72.8","28744681","77.4","27462626","81.6","25229699","82.4","5348260","91.6","2093216","9854557","16820880","5063","2092825","9854230","16792565","5061","2092592","9853729","15511325","4980","2085049","9826668","13313320","4662","202818","2700798","2443154","1490","15688028","54.5","15540748","56.6","14805263","58.7","8167295","69.8","4135989","77.3","6625828","8827241","234256","703",,"2602717","31.9","1638464","39.6","2029","1410068","1369438","72"
"2022-06-29T00:00:00.000","26","MH","110680","12600","59300","38780","0","142370","159947","192926","232868","2965700","75579","75541","67442","59293","3711","2991","55445","17141","2","97219","109166","117558","124751","99437","75650","37212","47.9","37185","53.7","31938","55.7","27186","57.2","1528","40.9","29971","38.6","29959","43.3","27154","47.3","24047","50.6","1371","36.7","2911","20927","6130","3","2910","20922","6124","3","2908","20917","3326","3","2899","20880","265","3","122","1242","7","0","10232","34.1","10227","37.7","10119","42.1","3041","53.4","778","56.7","9707","462","63","0",,"449","14.8","142","18.3","0","555","12","0"
"2022-06-29T00:00:00.000","26","WI","12421145","453000","4641300","7326845","0","213333","226171","248433","272642","1221060","10648880","10646297","10313170","9715830","3216910","336353","4072336","6237187","3004","182894","193853","206272","213261","316238","10647911","4215615","72.4","4213028","76.7","4043916","80.9","3775513","82.9","1051538","95","3849301","66.1","3849163","70.1","3697349","74","3453855","75.8","983408","95","301617","1346272","2200339","1073","301601","1346231","2200263","1068","301585","1346195","2048508","1061","301378","1345830","1805641","1006","30774","469804","482467","363","2211820","57.5","2201367","59.5","2123960","61.5","1404818","73","804158","81.8","910193","1273935","27517","175",,"448725","31.9","325821","40.5","195","206431","256039","32"
"2022-06-29T00:00:00.000","26","DC","2029005","71400","723880","1233725","0","287497","307248","332758","351294","2323030","1594848","1591151","1541646","1475378","301766","37822","579206","975943","1877","225979","240944","252831","255441","345495","1502291","716334","95","712401","95","680462","95","645685","95","105041","95","537548","76.2","537481","81.4","515880","84.6","490080","84.9","86544","95","40245","182861","313802","640","40242","182848","313751","640","40222","182830","292198","630","40199","182734","266543","604","2953","45692","37734","165","227742","42.4","224698","43.6","217063","44.3","109190","57.3","57664","66.6","94790","131208","1614","130",,"34910","32","21873","37.9","46","19970","20491","36"
"2022-06-29T00:00:00.000","26","NY","48489705","1913200","17142420","29434085","0","249259","264587","289090","314353","1471100","40331482","40316420","38993864","36592194","9330102","1442685","14606444","24255960","26393","207322","219989","232477","237223","283061","40378168","17717998","91.1","17703906","95","17011463","95","15879426","95","3515622","95","15135498","77.8","15134802","82.6","14538136","86.7","13543137","87.8","3082249","93.5","1260682","5053783","8813392","7641","1260569","5053637","8813046","7550","1260458","5053012","8217604","7062","1259424","5050535","7226796","6382","187873","1449588","1442595","2193","7058235","46.6","7025711","48.3","6754897","49.9","4041594","61","2107177","68.4","2965948","3973063","118387","837",,"991693","24.5","688602","32.7","1592","505254","536031","163"
"2022-06-29T00:00:00.000","26","TN","13631130","519200","5212940","7898990","0","199601","212304","233587","256266","1192170","10224271","10221989","10006726","9521734","3062364","266960","3919653","5968666","68992","149715","159207","171478","179009","267831","10061393","4283058","62.7","4280985","66.7","4167815","71.4","3930717","73.9","1062074","92.9","3751253","54.9","3751088","58.4","3656607","62.7","3454397","64.9","974152","85.2","237835","1331294","2168704","13420","237795","1331276","2168603","13414","237777","1331231","2074290","13309","237507","1330598","1873139","13153","36106","483810","447576","6660","1704839","45.4","1699404","46.5","1659234","48","1151265","60.1","678699","69.7","714121","963051","22784","4883",,"277877","24.1","199972","29.5","609","134325","159146","2683"
"2022-06-29T00:00:00.000","26","FM","174700","12800","98540","63360","0","170739","188212","220742","261825","3630510","140938","140893","122979","107354","8545","13524","87150","40206","58","137742","151790","155390","160893","177577","141990","70759","69.2","70718","76.2","60252","76.1","51511","77.2","3919","81.4","59702","58.3","59694","64.3","52509","66.3","46075","69.1","3622","75.3","12564","32542","14565","31","12560","32542","14561","31","12556","32540","7382","31","12533","32527","984","31","1111","2463","47","1","20659","34.6","20629","39.3","20433","44.3","6997","52.2","1857","51.3","15936","4290","433","0",,"764","10.9","215","11.6","1","978","665","0"
"2022-06-29T00:00:00.000","26","AK","1667765","85600","641220","940945","0","227978","245092","273908","302371","1820940","1174755","1173406","1128591","1050138","238731","45830","452882","674842","1201","160585","172442","185356","190393","260658","1189491","516760","70.6","515792","75.8","492721","80.9","456036","82.7","87885","95","458811","62.7","458441","67.4","438657","72","405400","73.5","79515","86.8","42031","161282","255275","223","42029","161277","254912","223","42027","161273","235137","220","41862","160837","202488","213","3712","43608","32143","52","210388","45.9","208957","47.6","199648","49.2","117827","64.8","59874","75.3","91724","115547","3073","44",,"32472","27.6","20276","33.9","48","18341","16130","9"
"2022-06-29T00:00:00.000","26","AL","10166340","398900","4436960","5330480","0","207342","220584","242814","266492","1196270","6409053","6408524","6291169","5978740","1968764","177797","2796643","3433967","646","130712","139049","150259","156722","231664","6555358","3102762","63.3","3102266","67.3","3034871","72.5","2867595","75.2","821622","95","2529130","51.6","2529064","54.9","2483096","59.3","2350967","61.6","704812","82.9","167108","1038194","1323033","795","167099","1038190","1322980","795","167096","1038172","1277034","794","167005","1037673","1145500","789","37096","374162","293081","473","934022","36.9","932681","37.6","914304","38.9","687158","50.2","420182","59.6","457122","460594","16139","167",,"117997","17.2","87593","20.8","233","67094","56290","14"
"2022-06-29T00:00:00.000","26","VA2","8405020","626700","4104880","3673440","0","0","0","0","0","0","7624231","7624054","7624032","7620655","4081243","256124","3938504","3429563","40","0","0","0","0","0","7624231","3496233","0","3496127","0","3496111","0","3494194","0","1706551","0","2969109","0","2969038","0","2969032","0","2967629","0","1516695","0","233876","1457029","1278202","2","233870","1457006","1278160","2","233869","1457005","1278156","2","233834","1456966","1276827","2","76680","828787","611227","1","1182287","39.8","1182281","39.8","1182200","39.8","1071446","45.8","771540","50.9","626251","534816","21220","0",,"195020","18.2","156388","20.3","46","102711","94090","0"
"2022-06-29T00:00:00.000","26","MS","5869615","230000","2371060","3268555","0","197222","210179","232790","257714","1206020","3958143","3957899","3878819","3662786","1180707","93936","1594442","2266264","3501","132995","141724","153834","160820","242598","4014885","1790553","60.2","1790322","64.1","1746763","69.3","1633861","71.7","449474","92.4","1556422","52.3","1556388","55.7","1521745","60.4","1427651","62.7","412217","84.7","87051","590115","877654","1602","87039","590107","877640","1602","87031","590091","843031","1592","86941","589731","749454","1525","17834","208956","184781","646","602739","38.7","601777","39.5","589572","41.3","443789","54.3","264565","64.2","277066","316429","8373","871",,"77539","17.5","56606","21.4","92","42737","38653","206"
"2022-06-29T00:00:00.000","26","VI","156760","3000","41940","111820","0","147483","157352","175298","192327","765504","148565","148468","145937","138790","42800","2332","44585","101648","0","139773","149028","163195","170280","209005","146382","70759","66.6","70689","71","69253","77.4","65578","80.5","19416","94.8","57305","53.9","57279","57.5","56178","62.8","53120","65.2","15519","75.8","2119","15958","39220","8","2116","15950","39205","8","2116","15948","38106","8","2112","15924","35076","8","571","6198","8746","4","18179","31.7","18163","32.3","17741","33.4","13414","41.8","7552","48.7","6113","11917","146","3",,"1755","13.1","1110","14.7","1","721","1112","0"
"2022-06-29T00:00:00.000","26","FL","50669585","2409600","18791920","29468065","0","235917","249138","271018","293774","1126660","38544832","38531599","37737699","35792635","12836093","1486646","14305057","22603377","149752","179464","189456","201849","207520","285415","38284268","17215541","80.2","17203624","84.6","16776014","89.7","15799808","91.6","4826194","95","14523072","67.6","14521173","71.4","14182672","75.9","13371271","77.5","4136398","92","1370664","4912881","8196671","42856","1369842","4912102","8196472","42757","1369792","4911936","7858726","42218","1368818","4910380","7050675","41398","215452","1983533","1915141","22272","6057923","41.7","6042908","42.6","5897675","44.1","4300505","55.8","2636292","63.7","2569630","3371300","108014","8979",,"1067218","24.8","794917","30.2","1753","563787","548697","3400"
"2022-06-29T00:00:00.000","26","MP","130330","3600","26420","100310","0","251355","270945","308182","361275","3471760","110414","110408","101735","89491","8970","1384","15250","93771","9","212945","229529","240565","248069","238945","110584","45652","88","45646","94.9","41136","95","35723","95","3251","86.6","43428","83.8","43428","90.3","39342","93","34179","94.7","3125","83.2","1170","5230","37025","3","1170","5230","37025","3","1170","5230","32939","3","1170","5229","27777","3","120","503","2502","0","21608","49.8","21534","54.7","19853","58.1","9656","71","2397","76.7","4235","17158","215","0",,"779","8.1","334","13.9","1","155","763","0"
"2022-06-29T00:00:00.000","26","MA","17923410","622100","6817320","10483990","0","260042","274262","297892","323545","1532790","15411100","15387978","14776532","13806805","3677655","405965","6058514","8946144","477","223592","235465","245590","249234","314509","15492951","6878818","95","6862062","95","6541094","95","6080612","95","1449811","95","5515045","80","5508907","84.3","5245562","87.2","4866325","87.8","1155173","95","383330","1941440","3190009","266","383324","1941431","3183887","265","383300","1941399","2920601","262","382000","1935952","2548133","240","74579","526491","554025","78","2908102","52.7","2881868","54.9","2745614","56.4","1606890","65.5","828446","71.7","1333314","1547266","27484","38",,"491096","30.6","324871","39.2","215","258458","256932","7"
"2022-06-29T00:00:00.000","26","WA","19105095","766600","6962000","11376495","0","250891","266890","293883","320995","1579300","15006296","14997037","14437485","13506802","3681771","489016","5619456","8884340","13484","197065","209502","222084","226935","304348","15195134","6220518","81.7","6211505","86.8","5932252","91.3","5516713","92.7","1258040","95","5557940","73","5557738","77.6","5312754","81.7","4934565","82.9","1151856","95","455316","1903304","3194503","4817","455287","1903277","3194361","4813","455262","1903198","2949536","4758","454914","1902395","2572646","4610","59240","521546","569123","1947","3036119","54.6","3000540","56.5","2865035","58.1","1658555","70.4","903477","78.4","1287547","1708733","38631","1208",,"612121","36.9","409883","45.4","599","306690","339542","264"
"2022-06-29T00:00:00.000","26","GA","22973995","840400","8940740","13192855","0","216380","230643","255605","283156","1514480","15333671","15329868","14922329","14002377","3772012","343405","5985872","8960894","43500","144420","153901","166023","172580","248657","15481630","7021863","66.1","7018432","70.5","6797707","75.6","6325600","78","1456457","95","5887024","55.4","5886591","59.1","5721521","63.7","5340517","65.8","1279122","84.3","324188","2173857","3375762","13217","324083","2173807","3375495","13206","324042","2173750","3210755","12974","323664","2172652","2832595","11606","35545","696768","543767","3042","2330921","39.6","2322616","40.6","2252614","42.2","1466912","53.3","785661","61.4","1032348","1270388","25989","2196",,"291237","19.9","194632","24.8","324","158694","151556","402"
"2022-06-29T00:00:00.000","26","LA","8698450","326100","3556580","4815770","0","187112","200087","221712","244259","1173850","6404370","6402991","6274309","5939419","1848249","200428","2612448","3588127","3367","137764","147286","159924","166783","249419","6384890","2861097","61.5","2860116","65.8","2785528","71","2611897","73.3","680152","91.8","2507324","53.9","2507095","57.7","2453426","62.5","2310300","64.9","640491","86.4","182152","966579","1357308","1285","182130","966561","1357121","1283","182118","966540","1303502","1266","181923","965971","1161167","1239","22493","304805","312973","220","1024439","40.9","1023065","41.7","1002189","43.4","721758","56.5","426733","66.6","454731","555793","13809","106",,"134716","18.7","97854","22.9","125","62607","78872","2"
"2022-06-29T00:00:00.000","26","PR","7752250","215600","2732120","4804530","0","242736","252006","272172","295779","1140610","7350009","7349460","7023143","6463916","1829395","152689","2789142","4407860","318","230141","238913","246574","246624","269165","7362818","3051215","95","3050746","95","2876707","95","2647949","95","700787","95","2669308","83.6","2669209","86.8","2519931","88.5","2314616","88.3","609691","89.7","139747","960111","1569309","141","139725","960085","1569258","141","139712","960057","1420045","117","139582","959711","1215246","77","23634","301952","284086","19","1590603","59.6","1588576","63","1463022","63.2","832109","69.5","431876","70.8","630261","948692","11625","25",,"167374","20.1","104018","24.1","184","78889","93669","1"
"2022-06-29T00:00:00.000","26","OR","10759285","463900","4061860","6233525","0","255096","269661","294955","321060","1404460","8089520","8080965","7810818","7338431","2221365","277170","3025943","4768341","18066","191798","202534","214126","218981","289965","8090454","3314369","78.6","3308749","82.9","3169044","86.9","2958434","88.3","763605","95","2962863","70.2","2959964","74.2","2845912","78","2656083","79.3","705071","92","248463","1009880","1698397","6123","248462","1009879","1695501","6122","248460","1009876","1581472","6104","247589","1006876","1395859","5759","52682","318379","332416","1594","1632589","55.1","1619129","56.9","1549924","58.4","935770","69.7","547767","77.7","684130","923166","24340","953",,"350468","37.5","245385","44.8","285","168282","198133","79"
"2022-06-29T00:00:00.000","26","PA","32711925","1542000","12553260","18616665","0","255522","270256","295193","321734","1366780","23856433","23850223","23080333","21748785","6994361","789003","9236338","13829594","1498","186349","197043","208277","213908","292240","23921913","11032800","86.2","11027953","91.1","10625442","95","9978019","95","2771219","95","8912332","69.6","8910759","73.6","8581051","77.4","8051942","79.2","2315574","95","732357","3189705","4989513","757","732300","3189576","4988127","756","732251","3189375","4658671","754","731726","3187095","4132420","701","92000","1089040","1134232","302","3901775","43.8","3879232","45.2","3741252","46.5","2575593","57.1","1500036","64.8","1693834","2145496","62352","93",,"646650","25.1","468826","31.3","351","334657","339339","12"
"2022-06-29T00:00:00.000","26","WY","1042685","48600","454740","539345","0","180159","191731","212480","234298","1051320","762502","762416","745690","707822","241291","28863","336963","395954","722","131748","140194","151958","159052","243288","768949","339519","58.7","339439","62.4","330388","67.3","311688","70","93319","94.1","297330","51.4","297323","54.7","289785","59.1","273469","61.5","84126","84.8","26825","120724","149595","186","26822","120723","149592","186","26821","120722","142057","185","26801","120696","125791","181","3960","43187","36914","65","132197","44.5","131904","45.5","128601","47","92005","59.2","58034","69","61632","68632","1868","65",,"21216","23.1","16273","28","16","10964","10989","13"
"2022-06-29T00:00:00.000","26","ME","3660750","155500","1441920","2063330","0","272334","285845","308941","334202","1283280","2974796","2974253","2881426","2724439","952338","144200","1226459","1600235","3902","221304","232241","243171","248723","333843","2988715","1235875","91.9","1235337","95","1188193","95","1119269","95","339592","95","1082727","80.5","1082693","84.5","1040427","87.8","977788","89.3","293369","95","132287","391682","557809","949","132268","391676","557800","949","132265","391661","515569","932","132205","391592","453151","840","24740","135897","132396","336","621403","57.4","618513","59.4","594987","60.9","404444","71.1","230849","78.7","281927","327869","10946","661",,"147371","36.4","105547","45.7","83","74269","76391","158"
"2022-06-29T00:00:00.000","26","RI","2750925","89700","1057700","1603525","0","259678","273767","296599","321796","1470720","2293689","2293345","2218414","2081492","599098","65885","876749","1349004","2051","216516","228230","239184","243488","320294","2476546","1061666","95","1061194","95","1013221","95","944050","95","223903","95","886980","83.7","886926","88.3","845909","91.2","785696","91.9","192655","95","60808","295599","530030","543","60807","295594","529983","542","60807","295583","488985","534","60779","295451","428959","507","6824","86054","99614","163","489505","55.2","487333","57.6","467044","59.4","287222","70.8","151377","78.6","205611","278564","5236","94",,"81932","28.5","56106","37.1","138","40755","46185","31"
"2022-06-29T00:00:00.000","26","NV","6281710","259300","2143900","3878510","0","203941","217016","239595","263106","1266550","5032542","5031736","4905452","4604832","1279907","188082","1728687","3115209","564","163386","173833","187102","192871","258060","5026247","2345817","76.2","2345025","81","2276034","86.8","2120845","88.8","512049","95","1891784","61.4","1891765","65.4","1837732","70.1","1716881","71.9","424695","85.6","173353","609314","1109006","111","173350","609309","1108995","111","173349","609308","1054965","110","173305","609201","934270","105","26245","194347","204054","49","757764","40.1","755549","41.1","733089","42.7","482375","55.6","272055","64.1","306215","439013","12519","17",,"121904","25.3","86815","31.9","45","57069","69072","3"
